keyword,doc_freq,total_freq,tfidf
model,5,18518,0.0
data,5,19519,0.01
utils,5,2632,0.0
util,4,11558,0.0
load,3,360,0.0
json,3,5282,0.0
tree,3,37999,0.03
utilities,3,32443,0.04
function,3,17583,0.01
test,3,8720,0.0
source,3,1056,0.0
value,3,4160,0.0
manager,3,3075,0.0
analysis,2,1429,0.0
parser,2,7373,0.0
entry,2,6652,0.01
similarity,2,5446,0.01
map,2,1980,0.0
distance,2,38490,0.07
math,2,26720,0.04
database,2,24076,0.02
clustering,2,21288,0.06
result,2,13888,0.01
estimator,2,12520,0.03
statistics,2,11648,0.02
filter,2,13661,0.01
query,2,12689,0.01
datasource,2,9661,0.02
service,2,8984,0.0
config,2,2154,0.0
exception,2,5321,0.0
handler,2,1351,0.0
api,2,2031,0.0
meta,2,3584,0.0
get,2,3866,0.0
cache,2,3169,0.0
bayes,2,802,0.0
domain,2,196,0.0
time,2,1122,0.0
reaction,1,215,0.0
entities,1,239,0.0
sar,1,178,0.0
sars,1,151,0.0
node,1,5243,0.0
search,1,1199,0.0
corpus,1,165,0.0
processes,1,586,0.0
path,1,708,0.0
references,1,355,0.0
chemical,1,131,0.0
lcms,1,143,0.0
reactions,1,91,0.0
ion,1,129,0.0
composition,1,262,0.0
well,1,139,0.0
annotations,1,202,0.0
brenda,1,122,0.0
mongo,1,165,0.0
pathway,1,114,0.0
molecule,1,106,0.0
plate,1,108,0.0
hypergraph,1,108,0.0
mass,1,1294,0.01
mechanisminspection,1,98,0.0
desalting,1,95,0.0
patent,1,96,0.0
surfactant,1,93,0.0
ranking,1,661,0.0
standard,1,973,0.0
graph,1,699,0.0
cofactorremoval,1,83,0.0
writer,1,2730,0.0
cofactor,1,71,0.0
from,1,1035,0.0
cdf,1,167,0.0
act,1,79,0.0
net,1,97,0.0
chemicals,1,50,0.0
protein,1,75,0.0
dbs,1,209499,0.68
elki,1,197670,0.69
index,1,35896,0.04
algorithm,1,30313,0.05
visualization,1,27756,0.06
outlier,1,19125,0.07
spatial,1,18845,0.04
distribution,1,13477,0.03
metrical,1,12720,0.04
distancefunction,1,11208,0.04
mtreevariants,1,11060,0.04
rstarvariants,1,10825,0.04
knn,1,9802,0.03
integer,1,9145,0.01
optionhandling,1,8831,0.03
visualizers,1,8187,0.03
evaluation,1,7682,0.02
linearalgebra,1,7497,0.03
datastructures,1,7305,0.02
parameter,1,6627,0.01
histogram,1,6799,0.02
pca,1,6704,0.02
vector,1,6790,0.01
ids,1,6154,0.02
scaling,1,6088,0.02
dbid,1,6066,0.02
mktrees,1,5966,0.02
gui,1,5945,0.01
heap,1,5901,0.01
parallel,1,5849,0.01
split,1,7153,0.01
experiments,1,254,0.0
activity,1,159,0.0
scenario,1,36,0.0
task,1,475,0.0
info,1,940,0.0
async,1,18,0.0
scenarios,1,12,0.0
application,1,3233,0.0
recognition,1,12,0.0
app,1,1426,0.0
platform,1,12,0.0
features,1,551,0.0
main,1,168,0.0
openme,1,7,0.0
logger,1,168,0.0
reload,1,6,0.0
files,1,255,0.0
capture,1,6,0.0
device,1,6,0.0
console,1,50,0.0
remote,1,8,0.0
call,1,390,0.0
update,1,1170,0.0
crowd,1,6,0.0
video,1,6,0.0
engines,1,9676,0.03
tools,1,8399,0.01
services,1,4972,0.01
dao,1,6073,0.01
engine,1,4162,0.0
dataset,1,5419,0.01
commons,1,3865,0.01
serializer,1,4047,0.0
action,1,3493,0.0
metadata,1,4385,0.01
impl,1,3920,0.0
kpi,1,3259,0.01
sbi,1,3151,0.01
qbe,1,2998,0.01
sdk,1,2694,0.01
stub,1,3319,0.01
document,1,2894,0.0
common,1,1867,0.0
analiticalmodel,1,2420,0.01
chart,1,1858,0.0
worksheet,1,1858,0.01
statement,1,2204,0.0
set,1,3946,0.0
list,1,6856,0.0
scheduler,1,2241,0.0
presentation,1,1366,0.0
behaviouralmodel,1,1297,0.01
template,1,1392,0.0
resource,1,1257,0.0
soap,1,1058,0.0
binding,1,1042,0.0
execution,1,1008,0.0
module,1,1048,0.0
proxy,1,1224,0.0
spago,1,941,0.0
kernel,1,6911,0.02
svm,1,1895,0.0
regression,1,2099,0.01
classifier,1,2651,0.0
frame,1,934,0.0
var,1,1022,0.0
stream,1,3009,0.0
empirical,1,772,0.0
option,1,1172,0.0
rule,1,832,0.0
func,1,707,0.0
linear,1,4422,0.01
optimization,1,539,0.0
plotcomp,1,533,0.0
gbt,1,487,0.0
dense,1,658,0.0
boost,1,499,0.0
decomposition,1,1402,0.0
group,1,1237,0.0
line,1,1874,0.0
artist,1,394,0.0
feature,1,1601,0.0
loss,1,378,0.0
binary,1,572,0.0
fun,1,340,0.0
metric,1,372,0.0
lbfgs,1,327,0.0
rtree,1,344,0.0
one,1,1985,0.0
matrix,1,3178,0.01
spliterator,1,312,0.0
simple,1,3053,0.0
mean,1,2004,0.01
onerule,1,256,0.0
numeric,1,1175,0.0
vars,1,142,0.0
chi,1,607,0.0
two,1,419,0.0
sample,1,885,0.0
serritor,1,773,0.0
internal,1,2021,0.0
web,1,400,0.0
crawl,1,222,0.0
event,1,1522,0.0
http,1,608,0.0
delay,1,85,0.0
crawler,1,75,0.0
mechanism,1,68,0.0
response,1,115,0.0
crawldelaymechanism,1,60,0.0
request,1,207,0.0
socket,1,72,0.0
configuration,1,1183,0.0
stats,1,240,0.0
dto,1,46,0.0
strategy,1,1336,0.0
error,1,778,0.0
auth,1,556,0.0
html,1,1953,0.0
stopwatch,1,32,0.0
callback,1,53,0.0
jwt,1,31,0.0
helper,1,186,0.0
frontier,1,23,0.0
non,1,1123,0.0
