keyword,doc_freq,total_freq,tfidf
util,10,16139,0.0
data,9,24375,0.01
utils,6,6300,0.0
function,6,20000,0.01
factory,6,10142,0.0
database,5,27325,0.02
value,4,7125,0.0
exception,4,8813,0.0
type,4,8975,0.0
tree,4,40089,0.03
split,4,9076,0.02
filter,4,18885,0.01
model,4,17977,0.0
core,3,7431,0.0
attribute,3,2232,0.0
provider,3,3299,0.0
sql,3,14951,0.02
table,3,9409,0.01
manager,3,6984,0.0
query,3,17741,0.02
stream,3,5356,0.0
server,3,13039,0.01
index,3,38031,0.04
column,3,11351,0.02
task,3,3388,0.0
generator,3,3199,0.0
distribution,3,15362,0.03
algorithm,3,30399,0.05
test,3,8341,0.0
stats,3,2388,0.0
importer,2,4968,0.01
field,2,3207,0.0
execution,2,4951,0.01
exporter,2,2672,0.01
runner,2,4541,0.01
aggregation,2,5011,0.01
csv,2,2302,0.0
engine,2,1756,0.0
datasource,2,8445,0.02
single,2,4109,0.01
matcher,2,896,0.0
importers,2,4719,0.02
cell,2,5414,0.01
json,2,2461,0.0
metadata,2,7654,0.01
state,2,2933,0.0
expression,2,4924,0.01
node,2,7156,0.0
record,2,4485,0.01
array,2,7751,0.01
source,2,2729,0.0
reader,2,3431,0.0
example,2,1276,0.0
network,2,783,0.0
spatial,2,19195,0.04
comparator,2,1694,0.0
serializer,2,1243,0.0
numeric,2,1839,0.0
inference,2,618,0.0
range,2,5608,0.01
distance,2,38287,0.07
utilities,2,29605,0.04
math,2,26787,0.04
clustering,2,21256,0.06
result,2,24858,0.01
evaluation,2,7722,0.02
parameter,2,6335,0.01
histogram,2,7229,0.02
parallel,2,6024,0.01
parser,2,7892,0.0
builder,2,8712,0.0
config,2,3115,0.0
action,2,4796,0.0
impl,2,6855,0.0
actions,2,2661,0.0
datastore,2,13677,0.04
context,2,2978,0.0
object,2,4039,0.0
listener,2,7638,0.0
functions,2,18075,0.02
rows,2,2289,0.01
row,2,10052,0.02
string,2,4890,0.0
file,2,8602,0.0
panel,2,8018,0.01
subject,1,289,0.0
ons,1,228,0.0
extraction,1,946,0.0
recipe,1,165,0.0
extractor,1,1028,0.0
spec,1,269,0.0
export,1,600,0.0
specification,1,150,0.0
londondatastore,1,109,0.0
modelling,1,111,0.0
fixed,1,1206,0.0
transformation,1,491,0.0
timed,1,102,0.0
dft,1,95,0.0
phe,1,95,0.0
osm,1,78,0.0
london,1,71,0.0
dclg,1,63,0.0
journal,1,58,0.0
excel,1,1384,0.0
tfl,1,53,0.0
obesity,1,43,0.0
map,1,2993,0.0
values,1,965,0.0
borough,1,39,0.0
geotools,1,38,0.0
operator,1,11544,0.02
hive,1,5655,0.02
spi,1,4563,0.01
planner,1,3838,0.01
connector,1,3764,0.01
block,1,3134,0.0
code,1,2944,0.0
benchmark,1,3359,0.01
orc,1,2575,0.01
raptor,1,2499,0.01
handle,1,2290,0.01
plan,1,1984,0.0
cassandra,1,2046,0.0
jdbc,1,2299,0.0
operators,1,440,0.0
scalar,1,1609,0.01
system,1,1882,0.0
plugin,1,1553,0.0
page,1,4768,0.0
kafka,1,1480,0.0
client,1,2750,0.0
tpch,1,1350,0.01
set,1,4179,0.0
emergent,1,561,0.0
entity,1,1172,0.0
sampler,1,624,0.0
aggregator,1,377,0.0
mapper,1,1069,0.0
gospl,1,319,0.0
roulette,1,289,0.0
dimensional,1,340,0.0
algo,1,295,0.0
control,1,1134,0.0
metamodel,1,260,0.0
matrix,1,3258,0.01
margin,1,267,0.0
spin,1,234,0.0
population,1,217,0.0
space,1,361,0.0
solution,1,388,0.0
constraint,1,3774,0.01
illegal,1,198,0.0
neighbor,1,1989,0.01
coordinate,1,326,0.0
search,1,1689,0.0
survey,1,176,0.0
sampling,1,401,0.0
random,1,3618,0.0
selection,1,4561,0.01
spl,1,160,0.0
layer,1,259,0.0
categoric,1,156,0.0
igs,1,152,0.0
dbs,1,209499,0.68
elki,1,197670,0.69
visualization,1,28779,0.06
outlier,1,19246,0.07
metrical,1,12720,0.04
estimator,1,12043,0.03
statistics,1,11823,0.02
distancefunction,1,11208,0.04
mtreevariants,1,11060,0.04
rstarvariants,1,10825,0.04
knn,1,9786,0.03
integer,1,9311,0.01
optionhandling,1,8831,0.03
visualizers,1,8187,0.03
linearalgebra,1,7497,0.03
datastructures,1,8129,0.03
pca,1,6663,0.02
vector,1,6913,0.01
ids,1,6154,0.02
scaling,1,6071,0.02
dbid,1,6066,0.02
mktrees,1,5966,0.02
gui,1,7029,0.01
heap,1,5919,0.01
entry,1,6924,0.01
similarity,1,5482,0.01
liblevenshtein,1,438,0.0
levenshtein,1,485,0.0
dawg,1,159,0.0
collection,1,672,0.0
transition,1,190,0.0
position,1,279,0.0
transducer,1,61,0.0
candidate,1,595,0.0
memoized,1,30,0.0
standard,1,900,0.0
merge,1,235,0.0
intersection,1,239,0.0
iterator,1,2162,0.0
prefix,1,102,0.0
element,1,972,0.0
and,1,1760,0.0
generate,1,233,0.0
