keyword,doc_freq,total_freq,tfidf
file,12,5499,0.02
data,10,7865,0.03
model,10,19816,0.07
gui,9,4628,0.08
util,9,8017,0.02
dialog,9,5473,0.07
type,9,3459,0.01
manager,9,4276,0.03
utils,9,5304,0.01
controller,8,2151,0.02
table,8,6095,0.07
item,8,2630,0.02
list,8,2301,0.01
component,8,3925,0.05
listener,7,2841,0.02
main,7,508,0.0
text,7,4333,0.03
exception,7,1347,0.0
handler,6,4235,0.03
map,6,4218,0.03
bar,6,1591,0.03
event,6,4101,0.03
editor,6,21856,0.41
action,6,2753,0.02
color,6,2608,0.04
provider,6,3471,0.03
version,5,766,0.01
selection,5,1553,0.04
view,5,3428,0.02
state,5,2298,0.02
entity,5,3884,0.05
value,5,2708,0.02
node,5,1976,0.02
panel,5,7296,0.12
inventory,5,1432,0.04
factory,4,1471,0.01
command,4,1357,0.01
image,4,1974,0.02
edit,4,3288,0.07
project,4,3196,0.06
info,4,1034,0.01
impl,4,5147,0.02
object,4,3550,0.03
registry,4,1546,0.03
result,4,1189,0.01
plugin,4,4500,0.05
properties,4,1704,0.02
load,3,570,0.01
log,3,614,0.01
options,3,609,0.01
wizard,3,1418,0.04
reader,3,342,0.0
row,3,820,0.02
consumer,3,414,0.01
sequence,3,513,0.01
container,3,760,0.01
generator,3,2521,0.03
record,3,163,0.0
tools,3,3618,0.06
renderer,3,6621,0.11
page,3,1980,0.03
box,3,1026,0.02
dialogs,3,1619,0.04
filter,3,2879,0.02
pane,3,1918,0.05
cell,3,2122,0.05
worker,3,379,0.01
adapter,3,1775,0.01
label,3,1627,0.03
module,3,7820,0.08
tab,3,1449,0.03
memory,3,170,0.0
demo,3,3267,0.04
app,3,350,0.0
field,3,1045,0.01
group,3,1179,0.01
api,3,1678,0.01
converter,3,454,0.01
components,3,1770,0.04
platform,3,1093,0.03
misc,3,890,0.02
render,3,832,0.02
control,3,881,0.02
input,3,2466,0.02
user,3,602,0.01
json,3,691,0.01
runtime,3,5990,0.11
font,3,967,0.03
button,3,1031,0.02
wrapper,2,521,0.01
names,2,43,0.0
game,2,65,0.0
location,2,139,0.0
parser,2,459,0.0
pool,2,236,0.0
cycle,2,136,0.01
overview,2,132,0.01
distance,2,129,0.0
cluster,2,156,0.0
xml,2,1330,0.01
change,2,1188,0.02
frame,2,439,0.01
export,2,558,0.01
document,2,336,0.01
plot,2,3029,0.11
painter,2,3011,0.13
basic,2,2343,0.03
labels,2,1160,0.04
block,2,1627,0.03
chart,2,1271,0.03
range,2,1312,0.02
general,2,1060,0.03
tool,2,1651,0.03
part,2,1548,0.05
resources,2,1033,0.02
device,2,139,0.0
about,2,462,0.01
connect,2,249,0.01
config,2,680,0.0
base,2,781,0.0
layout,2,944,0.02
property,2,1556,0.02
scene,2,4195,0.12
widget,2,4553,0.08
extensions,2,85,0.0
search,2,926,0.01
connection,2,1281,0.02
states,2,124,0.0
grid,2,731,0.02
commands,2,246,0.0
output,2,96,0.0
area,2,599,0.02
explorer,2,678,0.03
schema,2,477,0.01
pattern,2,68,0.0
run,2,120,0.0
extra,2,1581,0.06
element,2,1133,0.02
smart,2,222,0.01
transaction,2,1022,0.02
service,2,1567,0.01
struct,2,2258,0.07
source,2,2134,0.02
client,2,216,0.0
loader,2,703,0.01
configuration,2,836,0.01
attributes,2,661,0.02
reflection,2,231,0.01
events,2,228,0.0
callback,2,134,0.0
attribute,2,1171,0.02
message,2,265,0.0
nms,2,1189,0.09
mode,2,519,0.01
swing,2,5696,0.17
exporters,2,638,0.03
exporter,2,997,0.03
application,2,522,0.0
debug,2,293,0.01
multiple,2,412,0.01
generic,2,1847,0.03
topic,2,1077,0.03
serializer,2,1085,0.02
editors,2,5767,0.21
services,2,709,0.01
preferences,2,1057,0.02
chooser,2,1032,0.04
content,2,1383,0.02
cache,2,1239,0.01
console,2,15,0.0
window,2,162,0.0
slot,2,130,0.0
csv,2,544,0.01
chest,2,55,0.0
menu,2,1129,0.02
system,2,2322,0.03
lambdaattack,1,275,0.02
bot,1,101,0.0
session,1,597,0.01
protocol,1,59,0.0
logging,1,38,0.0
universal,1,26,0.0
lambda,1,15,0.0
attack,1,15,0.0
proxies,1,13,0.0
formatter,1,437,0.01
entitiy,1,13,0.0
minecraftstresstester,1,4,0.0
line,1,813,0.01
stress,1,1,0.0
tester,1,273,0.01
apta,1,154,0.01
distances,1,115,0.01
aptamer,1,121,0.01
fold,1,116,0.01
logo,1,103,0.0
cap,1,126,0.01
plex,1,86,0.0
root,1,257,0.01
analysis,1,82,0.0
rna,1,82,0.0
family,1,86,0.0
experiment,1,76,0.0
producer,1,159,0.0
sim,1,56,0.0
structure,1,308,0.01
energy,1,56,0.0
matrix,1,169,0.0
progress,1,544,0.01
hmm,1,42,0.0
par,1,39,0.0
param,1,147,0.0
sequencing,1,30,0.0
alphabet,1,29,0.0
motif,1,28,0.0
mut,1,24,0.0
preprocessing,1,240,0.01
training,1,222,0.01
recognition,1,222,0.01
symbol,1,183,0.0
binarization,1,99,0.01
work,1,97,0.0
tesseract,1,82,0.0
batch,1,139,0.0
conncomp,1,55,0.0
writer,1,132,0.0
filtered,1,118,0.0
word,1,163,0.0
evaluation,1,46,0.0
character,1,60,0.0
files,1,196,0.0
connected,1,36,0.0
axis,1,3210,0.09
drawing,1,3077,0.14
category,1,2992,0.07
dataset,1,2481,0.07
time,1,1675,0.02
series,1,1216,0.03
interval,1,1102,0.03
dial,1,1074,0.06
context,1,1654,0.01
standard,1,1095,0.02
annotation,1,880,0.01
pie,1,840,0.04
graphics,1,869,0.03
gantt,1,770,0.05
title,1,882,0.03
needle,1,658,0.04
devices,1,45,0.0
tunnel,1,158,0.01
discover,1,50,0.0
monitor,1,187,0.0
scan,1,45,0.0
swt,1,39,0.0
checker,1,243,0.01
progmode,1,32,0.0
password,1,90,0.0
keyring,1,21,0.0
baos,1,15,0.0
graph,1,439,0.01
jung,1,161,0.01
dependency,1,120,0.0
fork,1,105,0.01
artifact,1,21,0.0
visitor,1,103,0.0
theme,1,101,0.0
edge,1,114,0.0
animation,1,356,0.01
top,1,58,0.0
highlight,1,359,0.02
scopes,1,7,0.0
rings,1,7,0.0
balloon,1,7,0.0
centered,1,106,0.01
zoom,1,76,0.0
fruchterman,1,7,0.0
reingold,1,7,0.0
installer,1,7,0.0
fix,1,7,0.0
conflict,1,7,0.0
evaluator,1,28,0.0
constructor,1,7,0.0
animator,1,7,0.0
multi,1,255,0.0
move,1,555,0.02
iteration,1,2,0.0
force,1,2,0.0
save,1,102,0.0
fail,1,4,0.0
unused,1,111,0.01
apps,1,74,0.0
serial,1,110,0.0
tables,1,74,0.0
singleton,1,106,0.0
cleanup,1,74,0.0
remover,1,74,0.0
continuous,1,74,0.0
replace,1,129,0.0
usage,1,154,0.01
listed,1,37,0.0
non,1,97,0.0
views,1,712,0.01
comments,1,70,0.0
backslash,1,37,0.0
quote,1,37,0.0
moodle,1,37,0.0
preserve,1,37,0.0
literals,1,37,0.0
lines,1,37,0.0
inserts,1,37,0.0
runnable,1,164,0.0
actionable,1,9,0.0
husky,1,9,0.0
metrics,1,169,0.0
thrift,1,478,0.02
desktop,1,543,0.02
generated,1,427,0.01
contract,1,327,0.01
executor,1,281,0.0
pojo,1,170,0.0
get,1,136,0.0
code,1,571,0.01
token,1,799,0.01
sourcecode,1,72,0.0
method,1,235,0.0
wallet,1,65,0.0
variant,1,75,0.0
deploy,1,51,0.0
compiler,1,93,0.0
compilation,1,40,0.0
apiexec,1,38,0.0
trans,1,36,0.0
crypto,1,52,0.0
response,1,66,0.0
contracts,1,13,0.0
interaction,1,29,0.0
nbt,1,194,0.01
translators,1,160,0.01
scoreboard,1,174,0.01
items,1,151,0.0
sidebar,1,99,0.01
sender,1,99,0.0
raw,1,104,0.0
core,1,549,0.0
gettext,1,68,0.01
lib,1,168,0.0
rawtext,1,60,0.0
world,1,74,0.0
objective,1,48,0.0
runners,1,46,0.0
task,1,713,0.01
yaml,1,44,0.0
players,1,43,0.0
chat,1,40,0.0
mojang,1,40,0.0
dconvert,1,937,0.06
converters,1,435,0.01
arg,1,140,0.01
scaling,1,135,0.01
processor,1,323,0.0
algorithm,1,230,0.0
postprocessing,1,100,0.01
descriptors,1,60,0.0
post,1,60,0.0
density,1,60,0.0
exceptions,1,65,0.0
android,1,41,0.0
store,1,137,0.0
nine,1,40,0.0
patch,1,54,0.0
preference,1,200,0.0
scale,1,413,0.01
progressive,1,38,0.0
argument,1,66,0.0
arguments,1,23,0.0
ios,1,21,0.0
rounding,1,21,0.0
convert,1,21,0.0
compression,1,54,0.0
png,1,146,0.01
crush,1,20,0.0
scaler,1,20,0.0
loaded,1,20,0.0
windows,1,117,0.0
bucket,1,20,0.0
postfix,1,20,0.0
invalid,1,23,0.0
cli,1,20,0.0
interpreter,1,20,0.0
webp,1,20,0.0
hex,1,471,0.02
engine,1,322,0.0
layer,1,524,0.01
frames,1,104,0.0
extapp,1,123,0.01
layers,1,108,0.01
hexmap,1,89,0.01
lookup,1,184,0.01
svg,1,149,0.01
renders,1,60,0.0
values,1,275,0.01
tooloptions,1,49,0.0
select,1,801,0.02
hexeditors,1,36,0.0
filecontainer,1,29,0.0
,1,62,
bus,1,130,0.0
layerable,1,22,0.0
test,1,1180,0.0
jme,1,376,0.03
make,1,325,0.01
sky,1,286,0.02
collision,1,296,0.01
screen,1,217,0.0
bind,1,223,0.01
star,1,141,0.01
shape,1,490,0.01
shapes,1,102,0.0
hud,1,127,0.01
physics,1,508,0.02
clock,1,118,0.01
popups,1,112,0.01
display,1,183,0.0
screens,1,67,0.0
material,1,104,0.0
sound,1,326,0.01
sun,1,148,0.01
pose,1,81,0.01
vector,1,278,0.01
joints,1,67,0.0
joint,1,59,0.0
maps,1,47,0.0
hotkey,1,58,0.0
simple,1,398,0.0
linear,1,60,0.0
starfield,1,58,0.0
preset,1,58,0.0
corner,1,58,0.0
metric,1,58,0.0
repository,1,380,0.0
kafka,1,147,0.0
avro,1,100,0.0
access,1,340,0.01
dir,1,78,0.0
partition,1,249,0.01
auth,1,363,0.01
claim,1,68,0.0
authentication,1,66,0.0
mapping,1,201,0.0
deserializer,1,55,0.0
ldap,1,55,0.0
paged,1,53,0.0
resource,1,320,0.0
request,1,112,0.0
security,1,400,0.01
topics,1,139,0.01
next,1,41,0.0
mapper,1,55,0.0
with,1,221,0.0
key,1,1248,0.01
router,1,40,0.0
plugins,1,3705,0.08
mind,1,3090,0.17
lang,1,3210,0.08
refactoring,1,2656,0.15
psi,1,2451,0.12
tree,1,1972,0.02
mmd,1,1130,0.07
print,1,1152,0.03
logger,1,1093,0.02
tokens,1,1074,0.04
elements,1,700,0.02
facet,1,884,0.03
ide,1,853,0.04
icon,1,845,0.02
processors,1,542,0.02
mmeditors,1,547,0.04
find,1,559,0.02
ext,1,12429,0.31
sql,1,6321,0.1
oracle,1,4942,0.18
jdbc,1,3872,0.09
erd,1,3241,0.21
navigator,1,2990,0.1
controls,1,1856,0.05
mysql,1,1720,0.06
database,1,1610,0.02
actions,1,1302,0.02
mssql,1,1387,0.07
wmi,1,1293,0.08
dbs,1,1228,0.05
handlers,1,658,0.01
column,1,1594,0.04
exec,1,1178,0.04
transfer,1,1169,0.04
traversal,1,7,0.0
array,1,516,0.01
ftp,1,7,0.0
server,1,283,0.0
start,1,185,0.0
focus,1,186,0.01
chunk,1,342,0.01
palette,1,441,0.02
section,1,413,0.01
metadata,1,415,0.01
meta,1,856,0.02
bound,1,51,0.0
packet,1,51,0.0
encoder,1,267,0.01
player,1,97,0.0
specific,1,114,0.01
blending,1,38,0.0
equipment,1,36,0.0
blend,1,67,0.0
coordinate,1,100,0.0
equation,1,36,0.0
dimension,1,62,0.0
mca,1,30,0.0
colors,1,123,0.01
binary,1,569,0.01
region,1,360,0.01
mob,1,20,0.0
registries,1,17,0.0
biome,1,17,0.0
types,1,58,0.0
inventoryframework,1,2723,0.2
cartography,1,166,0.01
enchanting,1,166,0.01
stonecutter,1,166,0.01
beacon,1,166,0.01
anvil,1,166,0.01
grindstone,1,166,0.01
holder,1,390,0.01
smithing,1,132,0.01
abstraction,1,131,0.01
merchant,1,123,0.01
adventuresupport,1,57,0.0
custom,1,377,0.0
outline,1,97,0.0
paginated,1,56,0.0
geometry,1,37,0.0
furnace,1,34,0.0
flippable,1,32,0.0
rotatable,1,32,0.0
orientable,1,32,0.0
masonry,1,31,0.0
human,1,30,0.0
percentage,1,61,0.0
skull,1,29,0.0
slider,1,108,0.0
presenter,1,44,0.0
style,1,406,0.01
terminal,1,40,0.0
plottable,1,38,0.0
utility,1,33,0.0
jgp,1,27,0.0
combo,1,176,0.01
combobox,1,93,0.01
buttons,1,74,0.0
gnuplot,1,16,0.0
bottom,1,33,0.0
constant,1,54,0.0
function,1,211,0.0
preview,1,154,0.0
format,1,966,0.02
relative,1,42,0.0
runner,1,3,0.0
constants,1,745,0.01
